wave21	wave20
-61.194	1430
-210	1430.0395
-210	1430.0789
-57.53	1430.1184
-58.831	1430.1579
-56.664	1430.1974
-60.422	1430.2368
-57.425	1430.2763
-210	1430.3158
-70.26900000000001	1430.3553
-61.442	1430.3947
-210	1430.4342
-210	1430.4737
-60.702	1430.5132
-75.663	1430.5526
-71.449	1430.5921
-210	1430.6316
-73.065	1430.6711
-210	1430.7105
-62.872	1430.75
-60.707	1430.7895
-57.395	1430.8289
-56.7	1430.8684
-58.226	1430.9079
-59.525	1430.9474
-64.05	1430.9868
-210	1431.0263
-210	1431.0658
-63.587	1431.1053
-210	1431.1447
-210	1431.1842
-63.59	1431.2237
-66.039	1431.2632
-210	1431.3026
-210	1431.3421
-210	1431.3816
-210	1431.4211
-60.836	1431.4605
-64.06	1431.5
-60.139	1431.5395
-210	1431.5789
-63.49	1431.6184
-64.583	1431.6579
-62.89	1431.6974
-210	1431.7368
-210	1431.7763
-210	1431.8158
-68.97799999999999	1431.8553
-74.19799999999999	1431.8947
-210	1431.9342
-61.681	1431.9737
-63.307	1432.0132
-210	1432.0526
-63.954	1432.0921
-61.218	1432.1316
-59.913	1432.1711
-60.6	1432.2105
-59.385	1432.25
-57.084	1432.2895
-59.028	1432.3289
-210	1432.3684
-69.828	1432.4079
-210	1432.4474
-73.10599999999999	1432.4868
-66.06999999999999	1432.5263
-61.915	1432.5658
-210	1432.6053
-65.703	1432.6447
-60.751	1432.6842
-210	1432.7237
-69.002	1432.7632
-59.569	1432.8026
-58.209	1432.8421
-55.763	1432.8816
-58.025	1432.9211
-56.887	1432.9605
-61.709	1433
-62.833	1433.0395
-210	1433.0789
-210	1433.1184
-68.002	1433.1579
-62.486	1433.1974
-61.123	1433.2368
-210	1433.2763
-210	1433.3158
-210	1433.3553
-210	1433.3947
-210	1433.4342
-210	1433.4737
-65.224	1433.5132
-57.217	1433.5526
-60.835	1433.5921
-56.814	1433.6316
-56.747	1433.6711
-60.298	1433.7105
-210	1433.75
-67.202	1433.7895
-61.141	1433.8289
-57.487	1433.8684
-210	1433.9079
-210	1433.9474
-60.013	1433.9868
-210	1434.0263
-57.04	1434.0658
-61.34	1434.1053
-66.318	1434.1447
-66.319	1434.1842
-59.615	1434.2237
-57	1434.2632
-55.863	1434.3026
-57.399	1434.3421
-56.109	1434.3816
-59.665	1434.4211
-60.276	1434.4605
-210	1434.5
-61.292	1434.5395
-57.567	1434.5789
-210	1434.6184
-210	1434.6579
-65.267	1434.6974
-59.067	1434.7368
-210	1434.7763
-63.588	1434.8158
-210	1434.8553
-60.825	1434.8947
-59.817	1434.9342
-57.802	1434.9737
-56.37	1435.0132
-57.222	1435.0526
-57.892	1435.0921
-210	1435.1316
-210	1435.1711
-60.203	1435.2105
-68.07599999999999	1435.25
-210	1435.2895
-210	1435.3289
-72.31999999999999	1435.3684
-210	1435.4079
-61.655	1435.4474
-68.733	1435.4868
-210	1435.5263
-83.248	1435.5658
-66.58	1435.6053
-58.089	1435.6447
-55.683	1435.6842
-60.855	1435.7237
-57.324	1435.7632
-62.413	1435.8026
-61.534	1435.8421
-67.536	1435.8816
-67.038	1435.9211
-64.723	1435.9605
-210	1436
-210	1436.0395
-63.224	1436.0789
-210	1436.1184
-58.861	1436.1579
-60.44	1436.1974
-61.967	1436.2368
-59.011	1436.2763
-59.543	1436.3158
-58.155	1436.3553
-57.448	1436.3947
-55.996	1436.4342
-55.888	1436.4737
-60.106	1436.5132
-62.522	1436.5526
-62.468	1436.5921
-69.137	1436.6316
-210	1436.6711
-210	1436.7105
-210	1436.75
-64.012	1436.7895
-60.618	1436.8289
-210	1436.8684
-210	1436.9079
-60.955	1436.9474
-63.157	1436.9868
-56.543	1437.0263
-57.292	1437.0658
-58.198	1437.1053
-56.13	1437.1447
-58.823	1437.1842
-59.229	1437.2237
-58.083	1437.2632
-210	1437.3026
-210	1437.3421
-61.518	1437.3816
-210	1437.4211
-64.375	1437.4605
-210	1437.5
-69.56100000000001	1437.5395
-210	1437.5789
-210	1437.6184
-62.159	1437.6579
-210	1437.6974
-56.124	1437.7368
-57.002	1437.7763
-56.442	1437.8158
-61.215	1437.8553
-57.676	1437.8947
-59.445	1437.9342
-57.316	1437.9737
-60.1	1438.0132
-210	1438.0526
-210	1438.0921
-210	1438.1316
-74.396	1438.1711
-210	1438.2105
-68.321	1438.25
-210	1438.2895
-60.657	1438.3289
-210	1438.3684
-63.099	1438.4079
-55.644	1438.4474
-56.476	1438.4868
-58.025	1438.5263
-57.232	1438.5658
-57.773	1438.6053
-61.42	1438.6447
-210	1438.6842
-210	1438.7237
-210	1438.7632
-61.36	1438.8026
-62.835	1438.8421
-68.828	1438.8816
-210	1438.9211
-63.203	1438.9605
-61.824	1439
-60.463	1439.0395
-58.326	1439.0789
-54.448	1439.1184
-55.558	1439.1579
-57.391	1439.1974
-53.671	1439.2368
-57.84	1439.2763
-59.942	1439.3158
-61.971	1439.3553
-61.694	1439.3947
-210	1439.4342
-62.591	1439.4737
-64.545	1439.5132
-64.81399999999999	1439.5526
-61.374	1439.5921
-62.352	1439.6316
-64.29600000000001	1439.6711
-68.50700000000001	1439.7105
-66.479	1439.75
-59.225	1439.7895
-57.111	1439.8289
-56.037	1439.8684
-55.859	1439.9079
-54.846	1439.9474
-56.952	1439.9868
-58.845	1440.0263
-210	1440.0658
-63.05	1440.1053
-62.791	1440.1447
-60.532	1440.1842
-60.331	1440.2237
-73.325	1440.2632
-60.78	1440.3026
-62.687	1440.3421
-61.082	1440.3816
-63.953	1440.4211
-210	1440.4605
-57.385	1440.5
-55.024	1440.5395
-55.482	1440.5789
-54.773	1440.6184
-56.762	1440.6579
-58.616	1440.6974
-60.438	1440.7368
-210	1440.7763
-64.072	1440.8158
-62.693	1440.8553
